"公園名","Id","公園番号","公園種別","読み仮名","公園所在地","公園面積_m2","主な施設","主な遊具","閉鎖管理施設","トイレ","その他情報","備考1","備考2","経度","緯度","分類"
"橋場公園","50","52","街区公園","はしば","中　央５－４１","416.07","","ブランコ、砂場、鉄棒","","なし","","","","139.665916951334","35.7016927223969","街区公園"
"南台さくら公園","165","171","街区公園","みなみだいさくら","南台４－３７","593.62","","複合遊具","公園全体（開放6:00、閉鎖20:00）","なし","","","","139.666072030107","35.6798835828697","街区公園"
"多田公園","36","37","街区公園","ただ","南　台３－２６","477.92","","ブランコ、滑り台、鉄棒","","なし","","","","139.666064027743","35.6853389235553","街区公園"
"なつめ公園","61","63","街区公園","なつめ","中　央５－６","330.73","","ブランコ、砂場","","なし","","","","139.666316954807","35.6984001767785","街区公園"
"ささの葉公園","59","61","街区公園","ささのは","南　台４－１４","987.96","","ブランコ、滑り台、砂場、ｸﾗｲﾐﾝﾝｸﾞ遊具","","車いす用○、オストメイト○、男子大１、男子小１、女子×、共用×、ベビーシート×、ベビーチェア×","","","","139.666603473675","35.6828732488463","街区公園"
"中央公園","39","40","街区公園","ちゅうおう","中　央５－４２","2011.15","","砂場、築山遊具、鉄棒、ｸﾗｲﾐﾝﾝｸﾞ遊具","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.666561161545","35.7005936403593","街区公園"
"弥生公園","25","26","街区公園","やよい","弥　生５－４","1331.53","","ブランコ、滑り台、砂場、ｼﾞｬﾝｸﾞﾙｼﾞﾑ","","車いす用○、オストメイト○、男子大１、男子小２、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.66694949618","35.68630036601","街区公園"
"杉山公園","1","1","街区公園","すぎやま","本　町６－１５","1356.29","","ブランコ、砂場、複合遊具","","車いす用○、オストメイト○、男子大１、男子小２、女子２、共用×、ベビーシート○、ベビーチェア○","","","","139.66709526671","35.6970209412214","街区公園"
"あじさい公園","74","77","街区公園","あじさい","中　野５－３４","498.64","","鉄棒","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用×、ベビーシート×、ベビーチェア×","","","","139.667836083438","35.7072279996207","街区公園"
"西町花の公園","126","130","街区公園","にしまちはなの","本　町４－３７","324.7","","","","なし","","","","139.667914738574","35.6955522365674","街区公園"
"新井薬師公園","2","2","街区公園","あらいやくし","新井５－４・４－１５","10043.63","じゃぶじゃぶ池、喫煙所","ブランコ、砂場、複合遊具、鉄棒","","（池側）車いす用×、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","（寺側トイレ）車いす用○、オストメイト○、男子大１、男子小３、女子３、共用×、ベビーシート○、ベビーチェア○","","","139.667394362653","35.7150882308972","街区公園"
"昭三公園","88","91","街区公園","しょうさん","中　野５－４１","391.41","","健康遊具","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.66815471212","35.7096713714121","街区公園"
"江古田の森公園","122","126","地区公園","えごたのもり","江古田３－１４","60224.51","調節池、学習室、ビオトープ池、喫煙所","ブランコ、砂場、複合遊具、健康遊具","調節池区域（河川水越流時、夏期夜間）","（学習棟）車いす用○、オストメイト○、男子大１、男子小２、女子２、共用×、ベビーシート○、ベビーチェア×","（調節池北トイレ）車いす用○、オスト×、男大２、男小３、女３、共×、ベビシ×、ベビチ×　（調節池南トイレ）共１のみ","花火不可、犬の同行入園可（一部園路）","（バス停横トイレ）車いす用○、オスト×、男大１、男小３、女３、共×、ベビシ○、ベビチ×","139.66610338746","35.7296517164239","地区公園"
"新井東公園","109","113","街区公園","あらいひがし","新　井１－１９","612.84","","タイヤ","","車いす用○、オストメイト○、男子大×、男子小１、女子×、共用×、ベビーシート○、ベビーチェア×","","","","139.668296691951","35.7116510721163","街区公園"
"えごたばしポケットパーク","176","305","その他","えごたばしぽけっとぱーく","松が丘２－１８","190.25","","","","なし","","","","139.668810777493","35.7227911933117","その他"
"追分公園","15","16","街区公園","おいわけ","中　央４－７","702.81","","ブランコ、砂場、築山遊具、健康遊具","","車いす用○、オストメイト○、男子大×、男子小×、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.668753725153","35.6980996401363","街区公園"
"沼袋公園","5","5","街区公園","ぬまぶくろ","沼　袋１－１９","1947.04","","ブランコ、砂場、複合遊具、鉄棒","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.668597267186","35.7200586552452","街区公園"
"打越公園","93","96","街区公園","うちこし","中　野５－２６","732.9","","ブランコ、複合遊具","公園全体（開放7:00、閉鎖19:00）","なし","","","","139.668889957939","35.7081665567264","街区公園"
"いちょう公園","81","84","街区公園","いちょう","中　央４－５０","339.84","","ブランコ、滑り台、砂場","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.669300238685","35.7022242059672","街区公園"
"千代田公園","51","53","街区公園","ちよだ","本　町５－３１","344.1","","ブランコ、滑り台、鉄棒","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.669441264121","35.6927440583507","街区公園"
"本多山公園","151","157","街区公園","ほんだやま","江古田３－８","1263.04","","複合遊具","","なし","","","","139.669060980204","35.727925485778","街区公園"
"片山小さな緑地","143","149","街区公園","かたやまちいさなりょくち","松が丘２－１９","164.44","","","","なし","","","","139.670164520498","35.7229939971959","街区公園"
"上町公園","112","116","街区公園","かみちょう","中　央４－３６","1032.99","","ブランコ","","車いす用○、オストメイト○、男子大×、男子小１、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.6704020186","35.7012279738133","街区公園"
"本五ふれあい公園","163","169","近隣公園","ほんごふれあい","本　町５－２８","11924.12","多目的運動場","","多目的運動場","（中学校側）車いす用○、オストメイト×、男子大×、男子小×、女子×、共用×、ベビーシート×、ベビーチェア×","（中野通り側トイレ）車いす用○、オストメイト○、男子大１、男子小２、女子２、共用×、ベビーシート○、ベビーチェア○","犬の同行入園可（園路）","多目的運動場（9:00～17:00（6月～8月は19:00まで）、水土の13:00～は個人利用のみ（予約不要））","139.669827229178","35.6920387039073","近隣公園"
"前原公園","44","45","街区公園","まえはら","南　台２－４８","518.33","","砂場、複合遊具","","なし","","","","139.670663138723","35.6848344091228","街区公園"
"こぶし公園","62","64","街区公園","こぶし","上高田２－３２","282.48","","ブランコ、複合遊具","","なし","","","","139.670705345225","35.712417400675","街区公園"
"みなみの広場","129","133","街区公園","みなみのひろば","南　台２－３３","295.78","","","","なし","","","","139.670861520283","35.6836687040469","街区公園"
"天神小公園","120","124","街区公園","てんじんしょう","中　野５－１９","446.44","","","","なし","","","","139.670772132107","35.7073083052194","街区公園"
"松が丘公園","104","108","街区公園","まつがおか","松が丘１－２","414.63","","滑り台、砂場","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.67134961208","35.717249926504","街区公園"
"江古田公園","3","3","総合公園","えごた","松が丘２－３５・２－２９","8129.7","","複合遊具","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.670480262924","35.7231341786474","総合公園"
"すみれ公園","76","79","街区公園","すみれ","中　野５－５","727.63","","砂場、複合遊具","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用２、ベビーシート×、ベビーチェア×","","","","139.671568301456","35.7091673720227","街区公園"
"栄町公園","8","8","街区公園","さかえちょう","弥生町４－２０","2912.45","じゃぶじゃぶ池","ブランコ、砂場、複合遊具、築山遊具、鉄棒","","車いす用○、オストメイト○、男子大１、男子小２、女子２、共用×、ベビーシート○、ベビーチェア○","","","","139.67154535144","35.6867078398069","街区公園"
"江古一御嶽公園","145","151","街区公園","えごいちみたけ","江古田１－３４","315.81","","","","なし","","","","139.671689273128","35.7254998071496","街区公園"
"紅葉山公園","14","15","街区公園","もみじやま","中　野２－５","5488.5","池","砂場、複合遊具","","車いす用○、オストメイト×、男子大１、男子小３、女子２、共用×、ベビーシート×、ベビーチェア×","","","","139.671390444927","35.7038991342475","街区公園"
"天神公園","49","50","街区公園","てんじん","中　野５－８","636.36","","ブランコ、滑り台、鉄棒","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.671916349734","35.7072535508997","街区公園"
"江原屋敷森緑地","138","144","都市緑地","えはらやしきもりりょくち","江原町３－３２","1187.06","都市緑地","","","なし","","","","139.672513359401","35.7324601264572","都市緑地"
"本四公園","90","93","街区公園","ほんよん","本　町４－６","269.16","","","","なし","","","","139.672701903246","35.6969959452478","街区公園"
"上高田二丁目公園","111","115","街区公園","かみたかだにちょうめ","上高田２－８","3036.8","","砂場、複合遊具","","車いす用○、オストメイト×、男子大１、男子小２、女子１、共用×、ベビーシート×、ベビーチェア×","","花火不可","","139.672822573894","35.7106351460549","街区公園"
"こぐま公園","70","73","街区公園","こぐま","江原町３－１７","360.83","","ブランコ、砂場、築山遊具","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.673423674968","35.7317168950979","街区公園"
"南台いちょう公園","162","168","近隣公園","みなみだいいちょう","南　台１－１５","10035.13","多目的運動場、芝生広場","複合遊具","トイレ（開放6:00、閉鎖21:00）、多目的運動場","車いす用○、オストメイト○、男子大１、男子小２、女子２、共用×、ベビーシート○、ベビーチェア○","","犬の同行入園可（園路）","多目的運動場（9:00～17:00（6月～8月は19:00まで）、水土の13:00～は個人利用のみ（予約不要））","139.673222921302","35.6846677109684","近隣公園"
"仲町公園","132","138","街区公園","なかちょう","中　央３－１７","541.41","果樹公園","","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.673989023386","35.7006956783103","街区公園"
"弥生ポケットパーク","178","307","その他","やよいぽけっとぱーく","弥生町２－２３","154.26","","","","なし","","","","139.674183253246","35.6928461144523","その他"
"上一こなら公園","135","141","街区公園","かみいちこなら","上高田１－４３","478.74","","","","なし","","","","139.674280755289","35.7111255205586","街区公園"
"文園西公園","102","105","街区公園","ふみぞのにし","中　野６－２３","367.51","","鉄棒","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.674547411774","35.7065339054466","街区公園"
"なかしん広場","177","306","その他","なかしんひろば","本町３－２","210","","","","車いす用○、オストメイト○、男子大×、男子小１、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.674631612005","35.6932127640182","その他"
"城山公園","6","6","街区公園","しろやま","中　野１－４４","3298.6","","ブランコ、滑り台、砂場、複合遊具","","車いす用○、オストメイト×、男子大１、男子小２、女子２、共用×、ベビーシート×、ベビーチェア×","","","","139.674340360572","35.704238820504","街区公園"
"ぱんだ公園","84","87","街区公園","ぱんだ","弥生町３－３４","730.87","","滑り台、砂場、鉄棒、ｼﾞｬﾝｸﾞﾙｼﾞﾑ","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.674544098527","35.6891647723195","街区公園"
"弥生二丁目公園","108","112","街区公園","やよいにちょうめ","弥生町２－１９","389.39","","砂場","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用×、ベビーシート×、ベビーチェア×","","","","139.674761762505","35.6909944980086","街区公園"
"江原公園","4","4","街区公園","えはら","江原町１－１５","6806.77","じゃぶじゃぶ池","ブランコ、砂場、鉄棒、雲梯、ｼﾞｬﾝｸﾞﾙｼﾞﾑ","","車いす用○、オストメイト○、男子大１、男子小２、女子２、共用×、ベビーシート○、ベビーチェア○","","","","139.674437771762","35.729227627562","街区公園"
"みずのとう公園","83","86","街区公園","みずのとう","江古田１－３","2272.73","旧野方配水塔","ブランコ","","車いす用○、オストメイト×、男子大×、男子小×、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.674665584175","35.7246000751646","街区公園"
"上高田北公園","123","127","街区公園","かみたかだきた","上高田５－２９","960.99","","ブランコ、砂場、健康遊具","","（高齢者会館外）車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.675152472365","35.7182267271878","街区公園"
"妙正寺川公園","121","125","その他","みょうしょうじがわ","松ヶ丘１－３３","17314.83","調節池、池、運動施設","","運動施設（閉鎖時間の詳細は指定管理者へ）","車いす用○、オストメイト×、男子大３、男子小６、女子６、共用×、ベビーシート×、ベビーチェア×","","花火不可","指定管理者　03-3951-2515 （9:00～17:00）","139.674001784309","35.7209690493934","その他"
"谷戸運動公園","33","34","街区公園","やとうんどう","中　野１－３１","3438.55","","ﾊﾞｽｹｯﾄｺﾞｰﾙ","公園全体（開放6:30（10～3月7:00）、閉鎖19:00）","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","占用受付は東部区民活動センター　03ｰ3363ｰ0751（平日8:30～17:00）","139.674980188723","35.7026061384537","街区公園"
